date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:57:41	553/553	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:ca318c6fc6dcf825af865bf3ba22b81b%22	https://marscharmss.com/robots.txt		(from )
01:57:41	203751/203751	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:6693265346f772342a7256ca5e7e4525%22	https://marscharmss.com/	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/index.html	(from )
01:57:41	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/My%20Web%20Sites/TandCoScraper/code.jquery.com/jquery-3.7.1.min.js	(from https://marscharmss.com/)
01:57:42	41/41	---M--	302	error ('Found')	text/plain	date:Fri,%2023%20May%202025%2007:57:41%20GMT	https://unpkg.com/konva@9/konva.min.js	C:/My%20Web%20Sites/TandCoScraper/unpkg.com/konva@9/konva.min.1.delayed	(from https://marscharmss.com/)
01:57:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20May%202025%2007:57:42%20GMT	http://marscharmss.com/cdn/shop/t/15/assets/constants.js?v=132983761750457495441735016082	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/constants.340fd.delayed	(from https://marscharmss.com/)
01:57:42	174824/174824	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:17:47%20GMT	https://unpkg.com/konva@9.3.20/konva.min.js	C:/My%20Web%20Sites/TandCoScraper/unpkg.com/konva@9.3.20/konva.min.js	(from https://marscharmss.com/)
01:57:42	258/258	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2016%20Mar%202025%2014:57:04%20GMT	https://marscharmss.com/cdn/shop/t/15/assets/constants.js?v=132983761750457495441735016082	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/constants40fd.js	(from https://marscharmss.com/)
01:57:42	50/50	---MCZ	403	error ('Forbidden')	text/plain	date:Fri,%2023%20May%202025%2007:57:42%20GMT	https://fonts.shopifycdn.com/	C:/My%20Web%20Sites/TandCoScraper/fonts.shopifycdn.com/index.html	(from https://marscharmss.com/)
01:57:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20May%202025%2007:57:42%20GMT	http://marscharmss.com/cdn/shop/t/15/assets/pubsub.js?v=158357773527763999511735016083	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/pubsub.5f0f6.delayed	(from https://marscharmss.com/)
01:57:43	477/477	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2002%20May%202025%2009:13:30%20GMT	https://marscharmss.com/cdn/shop/t/15/assets/pubsub.js?v=158357773527763999511735016083	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/pubsubf0f6.js	(from https://marscharmss.com/)
01:57:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20May%202025%2007:57:43%20GMT	http://marscharmss.com/cdn/shop/t/15/assets/global.js?v=152862011079830610291735016082	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/global9da3.js	(from https://marscharmss.com/)
01:57:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20May%202025%2007:57:43%20GMT	http://marscharmss.com/cdn/shop/t/15/assets/details-disclosure.js?v=13653116266235556501735016082	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/details-disclosure0709.js	(from https://marscharmss.com/)
01:57:44	32629/32629	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2008%20May%202025%2006:18:33%20GMT	https://marscharmss.com/cdn/shop/t/15/assets/global.js?v=152862011079830610291735016082	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/global9da3.js	(from https://marscharmss.com/)
01:57:44	1441/1441	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2008%20May%202025%2006:18:33%20GMT	https://marscharmss.com/cdn/shop/t/15/assets/details-disclosure.js?v=13653116266235556501735016082	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/details-disclosure0709.js	(from https://marscharmss.com/)
01:57:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20May%202025%2007:57:44%20GMT	http://marscharmss.com/cdn/shop/t/15/assets/details-modal.js?v=25581673532751508451735016082	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/details-modalf572.js	(from https://marscharmss.com/)
01:57:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20May%202025%2007:57:44%20GMT	http://marscharmss.com/cdn/shop/t/15/assets/search-form.js?v=133129549252120666541735016083	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/search-form3d37.js	(from https://marscharmss.com/)
01:57:45	1555/1555	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2008%20Jan%202025%2006:41:58%20GMT	https://marscharmss.com/cdn/shop/t/15/assets/details-modal.js?v=25581673532751508451735016082	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/details-modalf572.js	(from https://marscharmss.com/)
01:57:45	995/995	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2016%20Mar%202025%2014:57:04%20GMT	https://marscharmss.com/cdn/shop/t/15/assets/search-form.js?v=133129549252120666541735016083	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/search-form3d37.js	(from https://marscharmss.com/)
01:57:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20May%202025%2007:57:44%20GMT	http://marscharmss.com/cdn/shop/t/15/assets/animations.js?v=88693664871331136111735016081	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/animationsc7c7.js	(from https://marscharmss.com/)
01:57:45	2930/2930	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2006%20May%202025%2022:21:50%20GMT	https://marscharmss.com/cdn/shop/t/15/assets/animations.js?v=88693664871331136111735016081	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shop/t/15/assets/animationsc7c7.js	(from https://marscharmss.com/)
01:57:46	3968/3968	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20May%202025%2007:57:45%20GMT	https://marscharmss.com/checkouts/internal/preloads.js?locale=en-US	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/checkouts/internal/preloadsc494.js	(from https://marscharmss.com/)
01:57:46	10987/10987	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2023%20May%202025%2007:57:45%20GMT	https://shop.app/	C:/My%20Web%20Sites/TandCoScraper/shop.app/index.html	(from https://marscharmss.com/)
01:57:46	0/0	---M--	200	added ('OK')	application/javascript	date:Fri,%2023%20May%202025%2007:57:45%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=en-US&shop_id=82178146621	C:/My%20Web%20Sites/TandCoScraper/shop.app/checkouts/internal/preloads.1203a0.delayed	(from https://marscharmss.com/)
01:57:46	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:da266de00fdcfd234f2664ef6517a3c5%22	https://marscharmss.com/modules/v2/client.shop-login-button_tQyWXqsV.en.esm.js	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/modules/v2/client.shop-login-button_tQyWXqsV.en.esm.js	(from https://marscharmss.com/)
01:57:46	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:85a061eb15aaea2a7deb2a42f366885d%22	https://marscharmss.com/modules/v2/chunk.common_DX4hvK5k.esm.js	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/modules/v2/chunk.common_DX4hvK5k.esm.js	(from https://marscharmss.com/)
01:57:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20May%202025%2007:57:46%20GMT	http://marscharmss.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	C:/My%20Web%20Sites/TandCoScraper/marscharmss.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.16.delayed	(from https://marscharmss.com/)
01:57:47	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Mar%202025%2010:54:25%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	C:/My%20Web%20Sites/TandCoScraper/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://marscharmss.com/)
